CO_IES	NO_IES	SGL_IES	CO_MANTENEDORA	NO_MANTENEDORA	CO_CATEGORIA_ADMINISTRATIVA	CO_ORGANIZACAO_ACADEMICA	CO_MUNICIPIO_IES	NO_MUNICIPIO_IES	SGL_UF_IES	NO_REGIAO_IES	QT_TEC_TOTAL	QT_PERIODICO_ELETRONICO	QT_LIVRO_ELETRONICO	VL_RECEITA_PROPRIA	VL_TRANSFERENCIA	VL_OUTRA_RECEITA	VL_DES_PESSOAL_REM_DOCENTE	VL_DES_PESSOAL_REM_TECNICO	VL_DES_PESSOAL_ENCARGO	VL_DES_CUSTEIO	VL_DES_INVESTIMENTO	VL_DES_PESQUISA	VL_DES_OUTRAS
1	UNIVERSIDADE FEDERAL DE MATO GROSSO	UFMT	1	FUNDACAO UNIVERSIDADE FEDERAL DE MATO GROSSO	1	1	5103403	Cuiabá	MT	Centro-Oeste	1603	0	0	7847404.77	846327386.04	0.00	240998470.45	104720070.73	101639593.80	130157963.86	17926971.06	14034108.54	244697612.37
2	UNIVERSIDADE DE BRASÍLIA	UNB	2	FUNDACAO UNIVERSIDADE DE BRASILIA	1	1	5300108	Brasília	DF	Centro-Oeste	3270	38262	175995	42952090.56	112574042.03	127025006.81	940686735.54	0.00	940686735.54	303195796.75	29754378.97	12466559.85	373438652.60
3	UNIVERSIDADE FEDERAL DE SERGIPE	UFS	3	FUNDACAO UNIVERSIDADE FEDERAL DE SERGIPE	1	1	2806701	São Cristóvão	SE	Nordeste	1472	38197	30210	4744562.76	714982582.65	269395956.10	281722494.07	151696727.57	112863080.44	155826881.91	53033112.85	25766649.67	0.00
4	UNIVERSIDADE FEDERAL DO AMAZONAS	UFAM	4	FUNDACAO UNIVERSIDADE DO AMAZONAS	1	1	1302603	Manaus	AM	Norte	1716	0	3245	7331203.25	631932058.60	776005.81	312351012.48	0.00	97957652.62	147463431.33	31936025.81	1055524.04	136896514.03
6	UNIVERSIDADE FEDERAL DE OURO PRETO	UFOP	6	UNIVERSIDADE FEDERAL DE OURO PRETO	1	1	3146107	Ouro Preto	MG	Sudeste	798	107	7	3746358.40	400970848.88	3957848.74	154341812.03	71370036.38	35824669.18	41108257.43	1676309.58	1142377.41	103212594.01
10	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ	PUCPR	10	ASSOCIACAO PARANAENSE DE CULTURA - APC	5	1	4106902	Curitiba	PR	Sul	1239	45003	230420	611604663.12	2391376.47	4226394.22	182622885.52	42837466.97	115453435.03	107894310.74	155742521.97	13671813.58	0.00
11	UNIVERSIDADE CATÓLICA DE PERNAMBUCO	UNICAP	11	CENTRO DE EDUCACAO TECNICA E CULTURAL	5	1	2611606	Recife	PE	Nordeste	442	174	1092	135799956.00	1508339.00	42455617.00	64221919.00	30712481.00	35371028.00	33521486.00	10572657.00	522400.00	2048439.00
13	UNIVERSIDADE DE CAXIAS DO SUL	UCS	13	FUNDACAO UNIVERSIDADE DE CAXIAS DO SUL	5	1	4305108	Caxias do Sul	RS	Sul	1368	10000	13000	327661298.00	0.00	24978841.00	116994311.00	41088541.00	41325701.00	133812335.00	14143148.00	7767395.00	0.00
14	UNIVERSIDADE DO VALE DO RIO DOS SINOS	UNISINOS	14	ASSOCIACAO ANTONIO VIEIRA	5	1	4318705	São Leopoldo	RS	Sul	983	80	9435	427128062.00	7443642.00	76300611.00	129735766.00	38547701.00	45316537.00	91227212.00	15399000.00	4703947.00	16661260.00
15	UNIVERSIDADE CATÓLICA DE PETRÓPOLIS	UCP	15	MITRA DIOCESANA DE PETROPOLIS	5	1	3303906	Petrópolis	RJ	Sudeste	243	0	0	49836336.00	0.00	1886391.60	22585391.23	7780478.20	3021336.09	5773129.41	153463.20	79308.00	3889400.39
18	UNIVERSIDADE CATÓLICA DE PELOTAS	UCPEL	18	SOCIEDADE PELOTENSE DE ASSISTENCIA E CULTURA(SPAC)	5	1	4314407	Pelotas	RS	Sul	300	38	7232	93665319.11	0.00	6061891.20	28546952.51	13015929.51	7238344.71	1332199.11	2077958.74	3816250.54	54321405.70
19	PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS	PUC-CAMPINAS	19	SOCIEDADE CAMPINEIRA DE EDUCACAO E INSTRUCAO	5	1	3509502	Campinas	SP	Sudeste	1433	13880	246782	260143544.00	6079226.81	32602327.91	89571335.18	47001995.98	60984369.39	42485819.87	13537000.00	8089270.67	13751588.71
20	UNIVERSIDADE DE PASSO FUNDO	UPF	20	FUNDACAO UNIVERSIDADE DE PASSO FUNDO	5	1	4314100	Passo Fundo	RS	Sul	1248	91	158396	303068013.27	2933478.82	11861796.35	94973715.02	34275659.08	58131384.10	99306066.39	10042779.71	8367307.78	21776806.18
21	PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL	PUCRS	21	UNIAO BRASILEIRA DE EDUCACAO E ASSISTENCIA	5	1	4314902	Porto Alegre	RS	Sul	1953	572574	107664	442773495.25	11523979.82	161617485.20	117706189.18	86248614.68	109570974.15	121068231.88	16478007.93	64200409.57	122618658.82
22	UNIVERSIDADE PRESBITERIANA MACKENZIE	MACKENZIE	22	INSTITUTO PRESBITERIANO MACKENZIE	5	1	3550308	São Paulo	SP	Sudeste	1823	51103	14511	694788971.76	0.00	44687810.14	206776339.81	157812002.09	94231282.21	0.00	62721052.94	48181608.86	165617977.13
195	FACULDADE PRESBITERIANA MACKENZIE RIO		22	INSTITUTO PRESBITERIANO MACKENZIE	5	3	3304557	Rio de Janeiro	RJ	Sudeste	73	89103	14511	9684351.81	0.00	441371.00	5517421.43	3803024.17	2139180.41	0.00	190215.49	0.00	5760688.06
23	UNIVERSIDADE FEEVALE	FEEVALE	23	ASSOCIACAO PRO ENSINO SUPERIOR EM NOVO HAMBURGO	5	1	4313409	Novo Hamburgo	RS	Sul	805	45000	150000	176843519.01	0.00	76229284.11	46552961.24	34885831.38	28464968.60	68568073.99	31445856.36	11350043.31	0.00
24	UNIVERSIDADE ESTADUAL DE SANTA CRUZ	UESC	24	UNIVERSIDADE ESTADUAL DE SANTA CRUZ	2	1	2913606	Ilhéus	BA	Nordeste	418	4678	38182	4613672.40	6761596.03	214380867.67	131735894.71	13289501.71	28254845.92	29753456.72	520365.82	11303754.74	0.00
26	ESCOLA NACIONAL DE CIÊNCIAS ESTATÍSTICAS	ENCE	26	FUNDACAO INSTIT BRAS DE GEOGRAFIA E ESTATISTICA IBGE	1	3	3304557	Rio de Janeiro	RJ	Sudeste	94	0	1825	0.00	2378948772.79	4217475.00	1.00	1.00	1951933870.05	314195914.80	64291220.28	0.00	0.00
27	UNIVERSIDADE VALE DO RIO VERDE	UNINCOR	27	FUNDACAO COMUNITARIA TRICORDIANA DE EDUCACAO	5	1	3169307	Três Corações	MG	Sudeste	382	4620	4000	43329446.11	0.00	566322.72	16600427.90	7114469.10	1897191.76	11274526.53	1256551.37	135200.00	3844915.56
29	UNIVERSIDADE ESTADUAL DO CEARÁ	UECE	29	FUNDACAO UNIVERSIDADE ESTADUAL DO CEARA FUNECE	2	1	2304400	Fortaleza	CE	Nordeste	714	0	0	12451875.08	225990668.37	0.00	105526410.03	26381602.51	60953590.62	45275235.06	2784700.22	11807601.49	201280.42
30	UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO	UNIFENAS	30	FUNDACAO DE ENSINO E TECNOLOGIA DE ALFENAS	5	1	3101607	Alfenas	MG	Sudeste	741	144	886	180123228.59	4735562.37	59772214.29	40252372.22	41885764.90	55442532.79	56168945.76	9985059.79	236629.74	35621870.75
31	CENTRO DE EDUCAÇÃO TÉCNICA DA UTRAMIG	UTRAMIG	31	FUNDACAO DE EDUCACAO PARA O TRABALHO DE MINAS GERAIS	2	3	3106200	Belo Horizonte	MG	Sudeste	4	0	0	156780.00	0.00	0.00	10327.10	51000.00	0.00	0.00	0.00	0.00	0.00
32	UNIVERSIDADE ESTADUAL DE CIÊNCIAS DA SAÚDE DE ALAGOAS - UNCISAL	UNCISAL	32	UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS - UNCISAL	2	1	2704302	Maceió	AL	Nordeste	300	0	0	1250347.00	215923311.68	4152053.10	1377229.42	1107783.34	272293.07	70302260.70	2335690.89	0.00	0.00
34	FACULDADE DE TECNOLOGIA DE SÃO PAULO	FATEC-SP	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3550308	São Paulo	SP	Sudeste	101	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
35	FACULDADE DE TECNOLOGIA DE AMERICANA	FATEC-AM	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3501608	Americana	SP	Sudeste	28	3169	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
1583	FACULDADE DE TECNOLOGIA DE INDAIATUBA	FATEC-ID	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3520509	Indaiatuba	SP	Sudeste	20	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
37	FACULDADE DE TECNOLOGIA DE JAHU	FATEC-JAHU	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3525300	Jaú	SP	Sudeste	33	0	0	611810322.98	0.00	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
1584	FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ	FATEC GT	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3518404	Guaratinguetá	SP	Sudeste	10	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
967	FACULDADE DE TECNOLOGIA DE TAQUARITINGA	FATEC/TQ	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3553708	Taquaritinga	SP	Sudeste	20	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
33	FACULDADE DE TECNOLOGIA DE SOROCABA	FATEC SO	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3552205	Sorocaba	SP	Sudeste	71	0	3	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
36	FACULDADE DE TECNOLOGIA RUBENS LARA	FATEC-BS	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3548500	Santos	SP	Sudeste	26	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
1874	FACULDADE DE TECNOLOGIA DE OURINHOS	FATEC	33	CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA	2	3	3534708	Ourinhos	SP	Sudeste	30	0	0	0.00	611810322.98	0.00	334000594.37	56253652.90	112215396.21	50545439.80	57898033.93	897205.77	0.00
